title,city,url,date,deadline,department,description,requirements
מנהל/ת היחידה לתכנון אסטרטגי באגף כספים,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198112,2026-06-02,2026-06-16,"כלכלה, כספים, השקעות ושוק ההון","היקף משרה 100%
תיאור התפקיד:
ניהול התוכנית האסטרטגית של האוניברסיטה הכולל הגדרת יעדים ברמת האוניברסיטה וברמת היחידות השונות, ניהול מעקב שוטף אחר העמידה ביעדים, והפקת דוחות להנהלת האוניברסיטה ולגורמי חוץ באשר לתוכנית האסטרטגית.
מתן ליווי ותמיכה לפקולטות ולמחלקות האוניברסיטה בכל הקשור ליעדי התוכנית האסטרטגית ולכלים העומדים לרשותם לצורך מעקב ובקרה אחר היעדים הפנימיים.
ניהול תקציבי של קליטות חוקרים חדשים.
ניהול מודלי תגמול לפקולטות ולמחלקות האוניברסיטה על עמידה ביעדי ביצוע בהוראה ובמחקר.
מעקב שוטף אחר מודלי התקצוב של ות""ת (מודל ההוראה ומודל המחקר), בחינת התוצאות אל מול נתוני האוניברסיטה, מעקב וניתוח אחר השינויים במודלים והעברת המידע הרלוונטי ליחידות השונות באוניברסיטה.
ביצוע הדרכות לגורמים שונים באוניברסיטה בקשר עם התוכנית האסטרטגית ומודלי התקצוב.
פיקוח ובקרה אחר נתוני מערכות האוניברסיטה המציגות נתונים שונים הקשורים למודלי התקצוב.
ביצוע ופיקוח על דיווחים שנתיים שונים ללמ""ס ולת""ת המשפיעים על מודל התקצוב.
ביצוע עבודות כלכליות שונות הנדרשות לגורמי הנהלה ו/או לסמנכ""ל הכספים.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר ראשון באחד מהתחומים הבאים: כלכלה , מנהל עסקים.
תואר שני באחד מהתחומים הבאים: כלכלה, מנהל עסקים או בעל/ת רישיון רואה חשבון.
בעל ניסיון של 5 שנים לפחות בעבודה בנושאי תקציב בארגון גדול - יתרון למוסד ציבורי מתוקצב.
יכולת הנעת תהליכים חוצי ארגון.
היכרות עם מודלי התקצוב של ות""ת - יתרון.
ידע וניסיון ברמה גבוהה בעבודה ביישומי ה- office .
ניסיון והיכרות עם מערכתPlanning Analytics IBM (מבוססת 1TM) - יתרון.
יכולת הבעה בכתב ובע""פ ברמה גבוהה בשפה העברית.
ידיעת השפה האנגלית ברמה גבוהה.
יכולות ניהול ועבודה עצמאית מול גורמי פנים, לרבות גורמי הנהלה בכירים, וגורמי חוץ.
יכולת תקשורת בינאישית ברמה גבוהה ויכולת השתלבות בעבודת צוות.
נכונות לעבוד מעבר לשעות העבודה הרגילות, בהתאם לצרכי העבודה.
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
קניין רכש תוכנות וIT,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198107,2026-06-02,2026-06-16,אדמינסטרציה,"היקף משרה 100%
תיאור התפקיד:
איתור, בחירה והתקשרות עם ספקי תוכנה שונים, שירותי ענן, כלי עריכה/גרפיקה, שירותי AI ופתרונות IT טיפול ברכש תוכנות, רישיונות ושירותי מחשוב מול ספקים קיימים וחדשים, שירותי ענן, כלי עריכה/גרפיקה, שירותי AI ופתרונות IT
קבלת צרכים טכנולוגיים וליווי תהליכי רכש בהתאם לדרישות
הכנת בקשות להצעות מחיר וניהול מו""מ בארץ ובחו״ל
ניהול רכש תוכנות מקצה לקצה: הפקת הזמנות, מעקב אספקה, חידושי רישיונות
אחריות על בקרה, מדידת ביצועים ושמירה על איכות השירות של ספקים
ניהול חוזים והסכמי שירות בתחום התוכנה והמחשוב ליווי וטיפול בהסכמים והתקשרויות בתחום התוכנה והמחשוב
טיפול בתקלות, פערים, חריגות וצרכים תפעוליים מול ספקים וגורמי פנים
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר ראשון
אוריינטציה טכנולוגית והיכרות עם סביבת תוכנות ומערכות מידע - יתרון משמעותי
ניסיון כקניין/ית בתחומי מחשוב או רכש תוכנות IT - יתרון משמעותי
היכרות עם תוכנות עריכה, גרפיקה, מחקר, וכלי AI - יתרון משמעותי.
ניסיון בעבודה עם מערכות ERP (יתרון לניסיון על Oracle) - יתרון
ידע והבנה בעולם המחשוב, רישיונות תוכנה ופתרונות IT- יתרון
יכולת ניהול מו""מ גבוהה והתנהלות מול ספקים
שליטה מלאה ב־Office ובסביבת ממוחשבת
עברית ברמת שפת אם, אנגלית ברמה טובה.
שירותיות, יחסי אנוש מצוינים, יכולת עבודה בצוות ויכולת ניהול משימות עצמאית.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
מתאמת במחלקת אחזקה,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198094,2026-05-31,2026-06-14,אדמינסטרציה,"היקף משרה 100%
תיאור התפקיד:
ריכוז וטיפול בעובדי מחלקת התחזוקה מול מחלקת משאבי אנוש בנושאי תשלום שעות נוספות, קריאות מיוחדות והשתלמויות.
עבודות משרדיות כלליות.
ניהול קריאות שוטף במערכת העוצמה
טיפול בהעברות תקציב למחלקה
מענה ללקוחות קצה ברחבי הקמפוס
מעקב אחר ביצוע משימות של המדורים
עבודה בסביבה ממוחשבת: מערכות ERP, דקל ועצמה
ריכוז והקמת דרישות במערכת ברנט בתחומים כגון: עב' שיפוצים-קבלנים ראשיים, עב' איטום, ועב' חשמל או תחומים אחרים לפי הצורך (כולל העברת הצעות מחיר למבקשי השירות).
ביצוע תיחורים בתחומים הנזכרים לעייל
בדיקת חשבונות קבלנים
התנהלות מול ספקים - כולל מעקב אספקות, בדיקת חשבוניות והעברתן לתשלום וכד'.
בניה וריכוז מצגות של תקצוב ופרויקטים של המחלקה.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
בעלת תואר ראשון
בעלת ידע במערכות ממוחשבות ותוכנות מחשב כגון: עוצמה 10, דקל ומערכת ERP - יתרון
ידע וניסיון ביישומי office
ניסיון קודם בעבודות משרדיות .
יכולת עבודה בתנאי לחץ וריבוי משימות
בעלת רקע בהנהלת חשבונות - יתרון
בעלת ניסיון בהתנהלות מול ספקים וקבלנים - יתרון
הכרת תוכנות תחזוקת מבנים - יתרון
בעלת רישיון נהיגה - יתרון
יצירתיות, בעלת מוטיבציה ואחריות
בעלת יכולת תקשורת בינאישית ברמה גבוהה
בעלת ראייה כוללת ותודעת שירות גבוהה.
נכונות לעבוד מעבר לשעות העבודה במידת הצורך
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
מנהל/ת סושיאל למדור נכסים דיגיטליים,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198079,2026-05-28,2026-06-11,שיווק,"היקף משרה 100%
אם אתם חיים ונושמים תוכן, יודעים לזהות טרנד רגע לפני שהוא מתפוצץ, ואוהבים להפוך רעיונות לתוכן סושיאל שמייצר עניין, רגש ופעולה - אנחנו רוצים אתכם איתנו.
אוניברסיטת בר-אילן מחפשת יוצר/ת תוכן ו-וידאו יצירתי/ת ומוכשר/ת להובלת פעילות הסושיאל שלנו ברשתות החברתיות. התפקיד כולל יצירת תוכן וסרטונים מקוריים עבור פייסבוק, אינסטגרם, טיקטוק, יוטיוב; עבודה מול סטודנטים, חוקרים ומרצים, והזדמנות להשפיע על הדרך שבה דור העתיד פוגש את האקדמיה.
תיאור התפקיד:
פיתוח רעיונות, תחקיר, כתיבה ויצירת תוכן מקורי, מעניין ומניע לפעולה
ניהול שוטף של חשבונות הסושיאל
תכנון וביצוע אסטרטגי של התוכן בהתאם ליעדי הארגון
כתיבת פוסטים ועבודה עם המעצבים על ויזואלים
צילום והפקה באופן עצמאי
הפעלת ספקים לצילום והפקה
צילום בשטח ובאולפן, כולל ניהול לוקיישנים, תיאום מול מצולמים ולו""זים
עריכת וידאו מותאמת לפלטפורמות השונות
עבודה עם צוותי תוכן, עיצוב ודיגיטל
בקרה ומדידה של פעילות הסושיאל
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר ראשון
יצירתיות, חשיבה מקורית ויכולת לספר סיפור מרגש ומשכנע
כושר ניסוח ברמה גבוהה
ניסיון של שנה לפחות ביצירת סרטונים לרשתות החברתיות
ידע וניסיון מעשי בתוכנות עריכה כמו InShot, CapCut, Canva.
צילום ועריכת וידיאו ברמה גבוהה
היכרות עמוקה עם טרנדים בפלטפורמות השונות
ביטחון עצמי, תקשורת בין-אישית טובה ויכולת ליצור קשר עם מרואיינים ומצולמים שונים - מתעניינים, סטודנטים, חוקרים ומרצים
יכולת עבודה עצמאית ובצוות, התמודדות עם מצבי לחץ, סדר וארגון, עמידה בזמנים
כושר ביטוי מעולה בעברית - בכתב ובעל פה
אנגלית ברמה גבוהה
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
מרכז/ת תפעול ובקרת השקעות,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198073,2026-05-28,2026-06-11,אדמינסטרציה,"היקף משרה 100%
תיאור התפקיד:
קליטת נתוני הבנקים למערכת ההשקעות ובקרה על הפעולות בחשבונות הבנק
רישום ובקרת תנועות במערכת ההשקעות
התאמת בנקים והתאמת יתרות למערכת הנהלת החשבונות
עריכת תזרים מזומנים
ביצוע ממשקים למערכת הנהלת החשבונות
עריכת דוחות ומצגות לוועדת השקעות
עבודה מול בנקים, קרנות השקעה ומחלקות האוניברסיטה
בקרה על עמלות הבנקים
הכנת דיווחים לרגולטור - בנק ישראל, ות""ת ועוד
הכנת חומר לביקורת רו""ח
הפקת דוחות בקרה וניתוחים שונים
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
בעלת תואר אקדמי בתחום הכלכלה/הכספים
בעלת ניסיון בעבודה בהשקעות או בכספים
בעלת ידע בהשקעות בארץ, בחו""ל ובקרנות פרטיות
בעלת הסמכה בראיית חשבון - יתרון
ידע וניסיון מוכח בעבודה ביישומי office
ידע וניסיון בתוכנות: דנאל, הנהלת חשבונות Oracle - יתרון
ידיעת השפה האנגלית ברמה גבוהה, כולל יכולת הבעה בכתב ובעל פה
בעלת יכולת חשיבה יצירתית ופתרון בעיות מורכבות
בעלת יכולת דיוק, ירידה לפרטים, התמדה ועמידה ביעדים
בעלת תקשורת בינאישית מצוינת
בעלת יכולת ונכונות להשתלב בעבודת צוות
נכונות לעבוד מעבר לשעות העבודה הרגילות בהתאם לצרכי העבודה
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
יועצת סטודנטים במדור תמיכה והנגשה,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=197954,2026-05-26,2026-06-09,אדמינסטרציה,"היקף משרה 100%
תיאור התפקיד:
ריכוז וטיפול בפניות להתאמות של סטודנטים עם מוגבלות
שיחות אישיות עם הסטודנטים לאיתור ומיפוי צרכים
ייעוץ, הכוונה וסיוע בבניית תכנית לימודים מותאמת לסטודנט בתיאום המחלקות
ליווי ומעקב אחר הצלחת הסטודנט
קשר שוטף עם עובדי שיקום של המוסד לביטוח לאומי וגורמי הטיפול של הסטודנט
פיתוח והפעלת תוכניות תמיכה ייעודיות עבור סטודנטים עם מוגבלויות
הדרכה לחונכים ולצוותים השונים העובדים עם הסטודנט
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר ראשון, עדיפות למקצועות הטיפול: עו""ס, פסיכולוגיה, יעוץ חינוכי, ריפוי בעיסוק וכדומה
בעלת ידע וניסיון בעבודה עם אוכלוסייה עם מוגבלות - יתרון
בעלת ידע וניסיון בעבודה עם אוכלוסיית בריאות הנפש - יתרון
בעלת תעודת רכז נגישות השירות - יתרון
הכרות טובה עם עולם הלימודים האקדמאים - יתרון
יחסי אנוש טובים ותודעת שירות גבוהה
יכולת ביטוי טובה בכתב ובעל פה
בעלת ידע וניסיון בעבודה עם יישומי ה OFFICE
בעלת יכולת לנקוט יוזמה
יכולת עבודה בתנאי לחץ
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
הערה - המשרה בחוזה מיוחד
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
מרכזת פרויקטים דיגיטליים באגף מנהל ודקן הסטודנטים,רמת גן,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198012,2026-05-26,2026-06-09,אדמינסטרציה,"היקף משרה 100%
למנהל ודקן הסטודנטים דרושה מרכזת פרויקטים עם אוריינטציה טכנולוגית, יכולת הנעה, חשיבה תהליכית ורצון לשפר את חוויית השירות באוניברסיטה.
התפקיד משלב עבודה עם מדורים שונים, מערכות מידע, פרויקטים דיגיטליים ויוזמות חדשנות, לרבות שימוש בכלי .AI זוהי הזדמנות להשתלב בתפקיד רוחבי, מגוון ומשפיע, בלב העשייה האוניברסיטאית.
תיאור התפקיד:
ריכוז, שיפור והטמעה של תהליכי עבודה וטכנולוגיה במדורי מנהל ודקן הסטודנטים, לרבות מתן תמיכה רוחבית למדורים השונים.
איסוף צרכים מהשטח, ליווי פיתוחים ושיפורים במערכות קיימות תוך הבנת האתגרים הקיימים, כולל מעקב אחר ביצוע, בדיקות נתונים, הטמעה והדרכת משתמשים.
עדכון שוטף של אתרי מנהל ודקן הסטודנטים וביצוע עדכונים שונים במערכות האוניברסיטה.
השתתפות בפרויקטים דיגיטליים וביוזמות AI, ובחינת פתרונות והטמעת כלים חדשים.
קידום תהליכים התורמים לשיפור השירות, לייעול העבודה ולחוויית המשתמש של המדורים והסטודנטים.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר אקדמי
היכרות עם מערכות האוניברסיטה ועם תהליכי מנהל ודקן הסטודנטים - יתרון.
אוריינטציה טכנולוגית ויכולת עבודה עם מערכות מידע, כלי AI, BI ו־Excel - יתרון משמעותי.
יכולת ריכוז משימות, תיעדוף, מעקב אחר ביצוע ופתרון בעיות.
שירותיות גבוהה ויכולת עבודה מול מגוון גורמים בארגון.
יכולת עבודה בצוות, לצד עבודה עצמאית בהתאם לתיעדופי המשימות.
יוזמה, סקרנות, ראייה מערכתית ורצון לשפר תהליכים קיימים.
נכונות לעבודה מעבר לשעות העבודה המקובלות בהתאם לצורך.
ידע וניסיון בשימוש בבינה מלאכותית (AI) - יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
מתאמת סגל ומחקר בפקולטה לרפואה,צפת,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198048,2026-05-26,2026-06-09,אדמינסטרציה,"היקף משרה 100%
תיאור התפקיד:
ליווי הטיפול במועמדים לתפקידי סגל מחקרי כולל תיאום ביקורים וראיונות
מענה טלפוני ואלקטרוני בפניות חוקרים בפקולטה ובתי חולים מסונפים
תיאום מול בעלי תפקיד וועדות הכפופות למנהלת המחקר
מעקב וטיפול במשימות שונות ופרויקטים שבאחריות הנהלת המחקר
סיוע בטיפול שוטף בסגל האקדמי בפקולטה ובבתי החולים, במסלולים השונים
מתן מענה וטיפול בבקשות חברי הסגל האקדמי בפקולטה ובבתי החולים, בנושאי שכר, מימוש זכויות ונושאים נוספים.
סיוע בתיאום בין חברי הסגל בפקולטה לגורמים שונים בקמפוס האם.
טיפול במינויים של הסגל הזוטר בפקולטה.
טיפול בתשלומים למרצים אורחים.
סיוע בעדכון שוטף של אתר הפקולטה בנושאים הקשורים לסגל האקדמי.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר ראשון , תואר שני - יתרון.
ניסיון קודם במוסד אקדמי בתחומי מחקר וקידום סגל אקדמי- יתרון
בעלת ראש גדול, אחריות, רצינות, ואמינות, ותודעת שירות גבוהה
יכולת שמירה קפדנית על סודיות
ידע ביישומי Office ברמת גבוהה
עברית ברמת שפת אם. אנגלית ברמה טובה מאוד.
יכולת ביטוי, ניסוח ותרגום דו-כיוונית באנגלית ועברית
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
הערה - המשרה בפקולטה לרפואה בצפת
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
מנהל/ת מעבדה בתחום מדעי המוח והאוטיזם בפקולטה לרפואה,צפת,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198047,2026-05-26,2026-06-09,רפואה ובריאות,"היקף משרה 50%
תיאור התפקיד:
ניהול שוטף של המעבדה ותפעולה.
ביצוע מחקר עצמאי במסגרת הפרויקטים הנחקרים במעבדה.
אחריות על תכנון, ביצוע וניתוח של ניסויים התנהגותיים בעכברים.
אחריות על הקמה, תחזוקה ותפעול של מערכות behavioral setups.
ביצוע ניתוח נתונים התנהגותיים ועיבודם.
ביצוע פרוצדורות כירורגיות בעכברים וטיפול בבעלי חיים בהתאם לנהלים האתיים.
ליווי והכשרת סטודנטים וחוקרים בטכניקות עבודה במעבדה ובמודלים התנהגותיים.
ביצוע הזמנות של חומרי מחקר וציוד למעבדה.
אחריות על תקינות ציוד המעבדה ותחזוקתו השוטפת.
אחריות על הבטיחות במעבדה.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר שני (MSc) או שלישי (PhD - יתרון) במדעי החיים, מדעי המוח, ביולוגיה, נוירוביולוגיה או תחום רלוונטי אחר.
ניסיון מוכח בעבודה עם מודלים עכבריים.
ידע וניסיון בביצוע מבחנים התנהגותיים בעכברים, כולל הקמה ותפעול של מערכות behavioral setups וניתוח נתונים.
ניסיון בביצוע ניתוחים/פרוצדורות כירורגיות בעכברים
ידע בתחום הנוירו-התפתחות
ניסיון בעבודה מולקולארית וביוכמית
ניסיון בטכניקות אימונוהיסטוכימיה ומיקרוסקופיה
ניסיון בהדרכת סטודנטים ובהובלת עבודה במעבדה - יתרון.
שליטה ביישומי Office ובתוכנות לניתוח נתונים - יתרון.
יכולת עבודה עצמאית, יוזמה, אחריות וכושר ארגון גבוה.
יכולת עבודה בצוות ויחסי אנוש מצוינים.
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
הערה - המשרה בפקולטה לרפואה בצפת
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
ראש יחידת מיקרוסקופיה לתמיכה במחקר ובהוראה,צפת,https://careers.topmatch.co.il/biu/redmatch-apply/redmatch.apply.html?compPositionID=198045,2026-05-26,2026-06-09,רפואה ובריאות,"היקף משרה 100%
תיאור התפקיד:
אחריות כוללת על תפעול, תחזוקה וכיול של מיקרוסקופים ומערכות דימות מתקדמות.
הדרכה וליווי חוקרים וסטודנטים בשימוש נכון ובטוח במערכות.
ייעוץ מדעי ותמיכה ניסויית בתכנון, ביצוע וניתוח תוצאות של ניסויים מבוססי מיקרוסקופיה.
פיתוח והטמעה של פרוטוקולים, שיטות עבודה ונהלי בטיחות.
תיאום מול חברות שירות, ספקים ותחזוקה.
הדרכות לשימוש יעיל במשאבים.
השתתפות בפעילות אקדמית ותמיכה בהוראה ובקורסים רלוונטיים.
ביצוע פרויקטים ומשימות נוספות בהתאם לצרכי העבודה ודרישות הממונים
הכישורים הנדרשים:
תואר דוקטור (PhD) בתחומי מדעי החיים, רפואה, ביולוגיה, ביופיזיקה או תחום קרוב
פוסט-דוקטורט - יתרון משמעותי.
ניסיון מעשי בשימוש במיקרוסקופיה
ידע וניסיון בניתוח ועיבוד תמונה - יתרון.
יכולת הדרכה, תודעת שירות, תקשורת בין-אישית מצוינת בעבודה עם מגוון חוקרים בשלבי קריירה, ורמות ידע שונות.
עצמאות, אחריות ויכולת ניהול מספר משימות במקביל.
יכולת כתיבת טקסטים מדעיים באנגלית ובעברית.
ידע וניסיון בשימוש בבינה מלאכותית (AI)- יתרון
מחויבות ואפשרות לעבוד מהבית בהתאם להחלטת הממונים.
התאמה לאופייה המיוחד של האוניברסיטה, לערכיה ולמטרותיה.
הערה - המשרה בצפת
***האוניברסיטה מעודדת גיוון תעסוקתי ומזמינה אוכלוסיות שונות בחברה הישראלית ומועמדים עם
מוגבלויות להגיש מועמדות.
***האוניברסיטה רשאית להפנות מועמדים למבחני התאמה חיצוניים על פי שיקוליה.
המשרה מיועדת לנשים וגברים כאחד",
